transcript	pA.site	sample	count
Hs.525527.1	site.09	MDA_sgCTRL.r1	1.063554373
Hs.525527.1	site.09	MDA_sgCTRL.r2	0.987598296
Hs.525527.1	site.09	MDA_sgHNRNPC.r1	2.62897215
Hs.525527.1	site.09	MDA_sgHNRNPC.r2	4.165060467
Hs.525527.1	site.16	MDA_sgCTRL.r1	38.28795743
Hs.525527.1	site.16	MDA_sgCTRL.r2	48.39231649
Hs.525527.1	site.16	MDA_sgHNRNPC.r1	42.0635544
Hs.525527.1	site.16	MDA_sgHNRNPC.r2	28.11415815
Hs.515329.1	site.03	MDA_sgCTRL.r1	1.063554373
Hs.515329.1	site.03	MDA_sgCTRL.r2	3.950393183
Hs.515329.1	site.03	MDA_sgHNRNPC.r1	0
Hs.515329.1	site.03	MDA_sgHNRNPC.r2	7.288855817
Hs.515329.1	site.05	MDA_sgCTRL.r1	36.16084868
Hs.515329.1	site.05	MDA_sgCTRL.r2	37.52873524
Hs.515329.1	site.05	MDA_sgHNRNPC.r1	48.19782274
Hs.515329.1	site.05	MDA_sgHNRNPC.r2	43.7331349
Hs.515688.1	site.01	MDA_sgCTRL.r1	13.82620685
Hs.515688.1	site.01	MDA_sgCTRL.r2	15.80157273
Hs.515688.1	site.01	MDA_sgHNRNPC.r1	21.90810125
Hs.515688.1	site.01	MDA_sgHNRNPC.r2	16.66024187
Hs.515688.1	site.05	MDA_sgCTRL.r1	10.63554373
Hs.515688.1	site.05	MDA_sgCTRL.r2	13.82637614
Hs.515688.1	site.05	MDA_sgHNRNPC.r1	18.40280505
Hs.515688.1	site.05	MDA_sgHNRNPC.r2	10.41265117
Hs.29665.1	site.01	MDA_sgCTRL.r1	9.571989357
Hs.29665.1	site.01	MDA_sgCTRL.r2	8.888384662
Hs.29665.1	site.01	MDA_sgHNRNPC.r1	5.257944299
Hs.29665.1	site.01	MDA_sgHNRNPC.r2	6.2475907
Hs.29665.1	site.04	MDA_sgCTRL.r1	5.317771865
Hs.29665.1	site.04	MDA_sgCTRL.r2	1.975196592
Hs.29665.1	site.04	MDA_sgHNRNPC.r1	1.7526481
Hs.29665.1	site.04	MDA_sgHNRNPC.r2	4.165060467
Hs.465374.1	site.07	MDA_sgCTRL.r1	2.127108746
Hs.465374.1	site.07	MDA_sgCTRL.r2	2.962794887
Hs.465374.1	site.07	MDA_sgHNRNPC.r1	0.87632405
Hs.465374.1	site.07	MDA_sgHNRNPC.r2	3.12379535
Hs.465374.1	site.14	MDA_sgCTRL.r1	17.01686997
Hs.465374.1	site.14	MDA_sgCTRL.r2	18.76436762
Hs.465374.1	site.14	MDA_sgHNRNPC.r1	14.89750885
Hs.465374.1	site.14	MDA_sgHNRNPC.r2	14.57771163
Hs.465374.1	site.15	MDA_sgCTRL.r1	8.508434984
Hs.465374.1	site.15	MDA_sgCTRL.r2	6.91318807
Hs.465374.1	site.15	MDA_sgHNRNPC.r1	5.257944299
Hs.465374.1	site.15	MDA_sgHNRNPC.r2	3.12379535
Hs.465374.1	site.16	MDA_sgCTRL.r1	20.20753309
Hs.465374.1	site.16	MDA_sgCTRL.r2	24.68995739
Hs.465374.1	site.16	MDA_sgHNRNPC.r1	35.052962
Hs.465374.1	site.16	MDA_sgHNRNPC.r2	27.07289304
Hs.432760.1	site.01	MDA_sgCTRL.r1	6.381326238
Hs.432760.1	site.01	MDA_sgCTRL.r2	10.86358125
Hs.432760.1	site.01	MDA_sgHNRNPC.r1	5.257944299
Hs.432760.1	site.01	MDA_sgHNRNPC.r2	5.206325584
Hs.432760.1	site.04	MDA_sgCTRL.r1	8.508434984
Hs.432760.1	site.04	MDA_sgCTRL.r2	10.86358125
Hs.432760.1	site.04	MDA_sgHNRNPC.r1	13.14486075
Hs.432760.1	site.04	MDA_sgHNRNPC.r2	13.53644652
Hs.523054.1	site.11	MDA_sgCTRL.r1	3.190663119
Hs.523054.1	site.11	MDA_sgCTRL.r2	0.987598296
Hs.523054.1	site.11	MDA_sgHNRNPC.r1	0
Hs.523054.1	site.11	MDA_sgHNRNPC.r2	1.041265117
Hs.523054.1	site.17	MDA_sgCTRL.r1	7.444880611
Hs.523054.1	site.17	MDA_sgCTRL.r2	4.937991479
Hs.523054.1	site.17	MDA_sgHNRNPC.r1	4.38162025
Hs.523054.1	site.17	MDA_sgHNRNPC.r2	4.165060467
Hs.469154.1	site.38	MDA_sgCTRL.r1	3.190663119
Hs.469154.1	site.38	MDA_sgCTRL.r2	2.962794887
Hs.469154.1	site.38	MDA_sgHNRNPC.r1	3.5052962
Hs.469154.1	site.38	MDA_sgHNRNPC.r2	5.206325584
Hs.469154.1	site.39	MDA_sgCTRL.r1	3.190663119
Hs.469154.1	site.39	MDA_sgCTRL.r2	4.937991479
Hs.469154.1	site.39	MDA_sgHNRNPC.r1	5.257944299
Hs.469154.1	site.39	MDA_sgHNRNPC.r2	2.082530233
